,0,1,2,3,4,5,6,7,8,9
0,-0.0245,-0.0679,-0.0236,-0.1268,-0.0483,-0.0649,-0.0099,-0.0389,-0.0808,0.0188
1,0.0529,-0.005,-0.0391,-0.0981,-0.1335,-0.0054,0.0934,-0.0348,-0.0024,-0.0716
2,-0.0684,-0.0625,-0.0735,-0.0221,-0.0083,-0.0271,-0.0747,-0.1248,-0.0244,-0.1196
3,-0.1163,0.0065,-0.134,-0.1113,0.0196,0.0052,-0.0977,-0.0538,0.0369,-0.1865
4,-0.1874,-0.1762,-0.0842,0.0521,-0.0783,-0.0207,-0.1244,-0.0719,-0.0141,-0.1041
5,-0.0824,-0.0663,0.0973,-0.0781,-0.086,0.0224,-0.0321,-0.1228,-0.0652,-0.0351
6,-0.1383,-0.0486,-0.083,-0.0409,-0.0604,-0.2692,-0.1721,-0.009,-0.05,-0.0067
7,-0.1254,-0.0479,-0.0911,-0.1527,0.0217,0.0427,-0.0325,-0.0336,-0.0247,-0.0752
8,-0.1674,-0.0597,-0.0812,-0.0515,-0.0278,0.0521,-0.0828,-0.1493,-0.1493,-0.0026
9,0.0192,0.0423,-0.1365,-0.0277,-0.2025,0.0232,0.0237,-0.0432,-0.0922,-0.0132
10,-0.1114,-0.1095,-0.0152,-0.1534,-0.1182,-0.0612,0.0034,0.0163,-0.0768,-0.1932
11,-0.1685,0.0002,-0.0211,-0.0806,-0.0889,-0.0458,0.0113,-0.0615,-0.0541,-0.0059
12,-0.1192,-0.2039,-0.0314,-0.0379,-0.0658,-0.033,-0.0838,-0.1513,-0.1303,-0.0577
13,-0.0033,-0.1265,-0.1639,-0.0211,-0.0309,-0.1049,-0.089,-0.0731,-0.0223,-0.0585
14,-0.0326,-0.0249,-0.0739,-0.0601,0.0298,-0.1191,-0.1434,-0.1351,0.022,-0.2289
15,-0.0242,-0.1008,-0.0188,-0.1205,-0.1281,-0.038,0.0349,-0.1877,-0.099,-0.0661
16,-0.0175,-0.0073,-0.1341,-0.0168,-0.0131,-0.0811,-0.0744,0.0037,-0.2119,-0.2485
17,0.1035,-0.1054,-0.0896,-0.1192,-0.0844,0.0809,-0.17,0.0034,-0.1188,-0.0166
18,-0.0892,-0.0975,-0.0285,-0.1221,-0.0336,0.0041,0.0012,0.0738,-0.0656,0.0422
19,-0.1078,-0.043,-0.1604,-0.2127,-0.0764,-0.0727,0.0193,-0.0021,-0.1615,-0.1579
